ObjectName,x_pos,y_pos,z_pos,w_qua,x_qua,y_qua,z_qua
Wall_C_10,-21.399999618530273,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_11,-21.399999618530273,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_12,-22.5,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_13,-20.299999237060547,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_14,-19.19999885559082,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_15,-19.19999885559082,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_16,-20.299999237060547,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_17,-26.899999618530273,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_18,-25.799999237060547,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_19,-25.799999237060547,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_20,-26.899999618530273,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_21,-24.69999885559082,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_22,-23.600000381469727,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_23,-23.600000381469727,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_24,-24.69999885559082,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_25,-26.899999618530273,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_26,-25.799999237060547,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_27,-25.799999237060547,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_28,-26.899999618530273,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_29,-24.69999885559082,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_30,-23.600000381469727,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_31,-23.600000381469727,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_32,-24.69999885559082,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
SM_CineCam_0_ExternalCamera,-19.096784591674805,91.99156188964844,-1.8948968648910522,0.07742613554000854,-0.006005004979670048,0.07953768223524094,-0.9938022494316101
MatineeCam_SM_1_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_2_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_3_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_4_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_5_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_6_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
Cone_7_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.494954377412796,-0.4928428530693054,0.42142170667648315,0.5783855319023132
MatineeCam_SM_8_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_9_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_10_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_11_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
PhysXCar,-20.276531219482422,99.51116180419922,1.0530223846435547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
SM_CineCam_0_PhysXCar_camera_front_center,-20.576448440551758,101.42713165283203,0.04814206808805466,0.0776548758149147,0.0007659784751012921,-0.007380553521215916,-0.9969527125358582
MatineeCam_SM_1_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_2_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_3_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_4_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_5_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_6_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
Cone_7_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.45634162425994873,-0.541377067565918,0.46295619010925293,0.5332305431365967
MatineeCam_SM_8_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_9_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_10_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_11_PhysXCar_camera_front_center,-20.583507537841797,101.47222137451172,0.02346229925751686,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
SM_CineCam_0_PhysXCar_camera_front_left,-20.452957153320312,101.44648742675781,0.04818969592452049,0.0776548758149147,0.0007659784751012921,-0.007380553521215916,-0.9969527125358582
MatineeCam_SM_1_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_2_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_3_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_4_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_5_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_6_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
Cone_7_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.45634162425994873,-0.541377067565918,0.46295619010925293,0.5332305431365967
MatineeCam_SM_8_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_9_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_10_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_11_PhysXCar_camera_front_left,-20.46001434326172,101.4915771484375,0.023509925231337547,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
SM_CineCam_0_PhysXCar_camera_front_right,-20.699941635131836,101.40777587890625,0.04809444397687912,0.0776548758149147,0.0007659784751012921,-0.007380553521215916,-0.9969527125358582
MatineeCam_SM_1_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_2_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_3_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_4_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_5_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_6_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
Cone_7_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.45634162425994873,-0.541377067565918,0.46295619010925293,0.5332305431365967
MatineeCam_SM_8_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_9_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_10_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_11_PhysXCar_camera_front_right,-20.706998825073242,101.45286560058594,0.023414671421051025,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
SM_CineCam_0_PhysXCar_camera_driver,-20.019145965576172,99.48653411865234,-0.17206496000289917,0.0776548758149147,0.0007659784751012921,-0.007380553521215916,-0.9969527125358582
MatineeCam_SM_1_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_2_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_3_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_4_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_5_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_6_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
Cone_7_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.45634162425994873,-0.541377067565918,0.46295619010925293,0.5332305431365967
MatineeCam_SM_8_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_9_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_10_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
MatineeCam_SM_11_PhysXCar_camera_driver,-20.026203155517578,99.53162384033203,-0.19674474000930786,0.6500416994094849,-0.005760468076914549,0.004677210934460163,0.7598623037338257
SM_CineCam_0_PhysXCar_camera_back_center,-19.971391677856445,97.56669616699219,0.1061175987124443,0.9969527125358582,-0.007380553521215916,-0.0007659784751012921,0.0776548758149147
MatineeCam_SM_1_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
MatineeCam_SM_2_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
MatineeCam_SM_3_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
MatineeCam_SM_4_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
MatineeCam_SM_5_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
MatineeCam_SM_6_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
Cone_7_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.541377067565918,0.45634162425994873,0.5332305431365967,-0.46295619010925293
MatineeCam_SM_8_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
MatineeCam_SM_9_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
MatineeCam_SM_10_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
MatineeCam_SM_11_PhysXCar_camera_back_center,-19.96420669555664,97.52090454101562,0.0828026533126831,0.7598623037338257,-0.004677210934460163,-0.005760468076914549,-0.6500416994094849
